ID,cpu_type,cpu_freqcpu_cores,ram_gb,has_nvidia,nvidia_gpu_name,nvidia_vram_gb,os,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,ram_mb_used,ram_usage_percent,ram_avg_percent,benchmark_steps,benchmark_mean,benchmark_reached,source_run
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,32,256,0.0003,0.005,0.2,0.95,6,linear,12070.18,72.6,73.29,10000,0.07,False,BasicPPO.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.2,0.95,3,linear,13430.9,61.9,64.08,12000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,32,256,0.0003,0.005,0.2,0.95,7,linear,10676.54,59.0,61.37,10000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,64,256,0.0003,0.005,0.2,0.95,3,linear,11511.45,68.2,68.0,34000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,64,256,0.0003,0.005,0.2,0.95,4,linear,11027.84,65.3,65.92,22000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,64,256,0.0003,0.005,0.2,0.95,5,linear,10675.71,66.3,65.99,16000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,64,256,0.0003,0.005,0.2,0.95,6,linear,11392.02,68.4,67.62,16000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,64,256,0.0003,0.005,0.2,0.95,7,linear,11993.32,74.7,71.87,14000,0.07,False,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.2,0.95,3,linear,12172.26,77.3,75.38,52000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.2,0.95,4,linear,13388.87,72.7,75.57,36000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.2,0.95,5,linear,11820.19,73.6,73.27,30000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.2,0.95,6,linear,11813.75,74.9,74.84,26000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.2,0.95,4,linear,11851.86,75.3,75.12,10000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.2,0.95,7,linear,12053.62,74.2,73.98,2000,0.545,False,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.2,0.95,5,linear,11856.71,75.3,74.91,10000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.2,0.95,6,linear,11843.41,75.2,74.05,8000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.2,0.95,7,linear,12020.68,74.2,74.31,8000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,32,256,0.0003,0.005,0.2,0.95,3,linear,11625.96,67.9,68.89,20000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,32,256,0.0003,0.005,0.2,0.95,4,linear,10654.52,67.2,67.47,14000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,32,256,0.0003,0.005,0.2,0.95,5,linear,10603.36,67.2,67.2,12000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,32,256,0.0003,0.005,0.2,0.95,6,linear,10718.13,67.6,67.47,12000,0.93,True,BasicPPO.4.AK
